run,tow_speed_nom,tsr_nom,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,sys_unc_tsr,sys_unc_cp,sys_unc_cd,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
0.0,1.0,1.0,1.0000127601522844,0.0020377392750420306,15.0,30.76,14.0,4.0,0.9999809672312011,-0.0016320073287568971,0.12246239649489062,0.005353863893203609,0.0012208179854801282,0.0253285165483975,0.00014093654117470158,4.286187451452877e-05,0.0023520037350141464,8.801149472169879e-06,0.0010722308131370986,0.0004564364698279864,0.0002221670472792648,0.0024727190171346413,0.0035241172117648394,3.094040531047748,8.006389707176952,3.9384124392138387,15.0,30.76,0.0,0.0,0.8085577168254828,-0.016080291775100748,-0.03578753182748196,0.14673900421254624,0.18629836689882412,0.10550671061819065,-8.032076363681337e-05,-0.000716234968588134,-0.0014770043721905601,0.03367483072146268
1.0,1.0,1.25,1.0000095689092097,0.0020893628278360332,15.0,30.31,17.0,5.0,1.250069828368067,-0.0024499021751937782,0.11297447688117326,0.006255161827542133,0.001741250097391869,0.025970036584086146,0.000226930414300466,3.1215163070091845e-05,0.0037557234437998943,8.998754728569838e-06,0.001340397755878089,0.00045643932182404517,0.0002811548324907807,0.0030910137099860522,0.004593731078983528,4.063020056198297,8.001735362651617,4.600069061315057,15.0,30.31,0.0,0.0,0.8016533163802372,-0.01862287580673248,-0.02331239782607516,0.15858121549562207,0.1966908295352992,0.11199949559013861,0.001898128554021585,-0.0014880617299860791,-0.0002845953414976571,0.03817708451726214
2.0,1.0,1.5,1.0000135786802034,0.0021318703002354213,15.0,30.76,21.0,7.0,1.4999665939569675,-0.0035770241754549915,0.11725781985430529,0.007569441082658411,0.0021686629159163306,0.028410401406656984,0.00026235896652213053,5.24307677374263e-05,0.0019286235055867894,9.234280296964248e-06,0.0016083381776615612,0.00045643568842157245,0.00024268685208821424,0.0037089200504427816,0.0019057909647527535,6.104169262125381,8.00242900625034,10.42522542581434,15.0,30.76,0.0,0.0,0.8349536063228291,-0.016860679278720047,-0.02383238094112289,0.14976141332314102,0.185678918839336,0.10276918976701722,0.0012394243763824287,0.000780971416595792,-0.0006969616840177271,0.03372261344481823
3.0,1.0,1.75,1.000014799222798,0.002129581101858818,15.0,30.44,24.0,8.0,1.749947709762148,-0.004802320821048302,0.11451164918791622,0.008755316111940374,0.00270808420783206,0.02695902119735667,0.00028583717723149467,9.259989077815378e-05,0.001992629646969685,9.505216265844916e-06,0.0018763756996896064,0.00045643455682641844,0.00023917681368968295,0.004327130390702241,0.0018252466274156786,7.1239124432491465,8.004870817467161,12.225156350219033,15.0,30.44,0.0,0.0,0.8254784300483514,-0.016384515643853223,-0.029854274681614595,0.14495741338278037,0.18508297210731178,0.10963530317927962,-3.082905665958908e-05,0.00033188395530133846,-0.0012716208064969948,0.03363322654686104
4.0,1.0,2.0,1.0000140799492385,0.002097729856698382,15.0,30.76,28.0,9.0,1.9999672914707964,-0.006286583751025786,0.1158559232456097,0.009976208358256952,0.003328314391630709,0.025923440589917794,0.00024837810763774057,6.095870605895105e-05,0.0026489880185081604,9.808606069750535e-06,0.0021444616087773834,0.0004564352219317479,0.00019134573784729332,0.004945204787145404,0.002165910465018285,8.224525102573264,8.001436522385621,11.990343356919604,15.0,30.76,0.0,0.0,0.836020680457932,-0.013333439107770772,-0.03707360408042391,0.1515443146564758,0.18828910540303473,0.10759176963417626,0.0017466784801669969,-0.0008037191029946501,8.949030541296564e-05,0.034986108734614864
5.0,1.0,2.25,1.0000148613797548,0.002063463180208103,15.0,30.51,31.0,10.0,2.249970897147906,-0.00785071587139717,0.1160405428059456,0.011107078838870485,0.003968025771536039,0.02603221760953525,0.00029998314236841277,7.84997809339865e-05,0.0030627161365684484,1.014144897895639e-05,0.002412524428579932,0.00045643450974643785,0.0002150854926591711,0.005563380793745963,0.002317965760513973,9.20554394106284,8.001694010052624,12.734993272852497,15.0,30.51,0.0,0.0,0.8232075646110156,-0.023109748180107297,-0.04017311419271921,0.1460631087254078,0.17478611546267522,0.1023275813457038,0.0010407137235718066,-0.00016742768683903155,-0.0011330883823829207,0.031167708669661807
6.0,1.0,2.5,1.0000358703703704,0.002150269915203669,20.0,30.8,24.0,8.0,2.4998959121658135,-0.00985806475608992,0.11965287236466081,0.012457289066072779,0.0044496448468327125,0.02813386085630686,0.00017983919294558718,0.00010648891253684322,0.003776360685884052,1.0500641463041009e-05,0.0026803917079769907,0.00045641535554336455,0.00015080085360167733,0.006181179698153443,0.0032129799021310594,7.382241721885142,8.003156720339543,8.628520941977584,20.0,30.8,0.0,0.0,0.8267091832750915,-0.021233549497517098,-0.02107268526069001,0.1608795464732349,0.19862138216262376,0.11433528546117033,0.0012997009183134483,-0.0023529866195154464,0.00032866294101177454,0.039184450773635845
7.0,1.0,2.6,1.0000380129390019,0.0022258999424782087,20.0,30.82,25.0,8.0,2.5999125275679016,-0.010708188588185799,0.124333707422521,0.013033224082147741,0.004768440745039337,0.030829802856029338,0.0003415383711431934,0.0001031026379576346,0.0021902653604422423,1.0651319884896083e-05,0.0027876170203950438,0.00045641343106586765,0.00028575353798730247,0.006428423414232791,0.001968070711009848,7.108976789881762,8.002735886118982,11.494428728000383,20.0,30.82,0.0,0.0,0.8226293536448999,-0.011878003692405053,-0.027051756031888273,0.15878953048151248,0.19120707384618146,0.09759436133121792,0.003066150661222555,-0.0009601616037576085,0.0005809429983450343,0.035632956084225294
8.0,1.0,2.7,1.000038348708487,0.002212973469002568,20.0,30.84,26.0,8.0,2.6999486040283736,-0.011508402327070752,0.11806340533226964,0.013388507079356396,0.004952764036698911,0.02789019309111763,0.0003396686444790413,4.618152984171655e-05,0.0028240608547202453,1.0805733729884617e-05,0.002894874072801645,0.0004564130829958489,0.0002841985122830507,0.006675623837961809,0.0024510173973392585,7.113399313890521,8.000508986526498,9.854551816545575,20.0,30.84,0.0,0.0,0.8238388887848014,-0.01203091829479253,-0.020270881455681313,0.14795840482108627,0.17717845378333588,0.10346631296249471,0.0010596226274270397,-0.0007485470943072863,0.0013577116373024165,0.03197980515014647
9.0,1.0,2.8,1.0000397511520738,0.0021405491845283174,20.0,30.85,27.0,9.0,2.799872245454323,-0.01238745008258282,0.11709050118693158,0.013867797879591501,0.005089341836243702,0.027030579919686968,0.0005776819752887707,0.00012541723321796592,0.0036089919669111225,1.0963486251969487e-05,0.003002003963600552,0.0004564117965898204,0.00044426662258526407,0.006922837577408644,0.0028571931486225254,8.051865389917412,8.00310291133385,10.256306963983498,20.0,30.85,0.0,0.0,0.8404038899499214,-0.023597600475623242,-0.025909132858337937,0.14932636177227077,0.17851658815776403,0.09350260437597492,0.000998673650822096,0.0005203596044365214,-4.581119671502271e-05,0.031440102371408415
10.0,1.0,2.9,1.0000403127874886,0.0021221620851365644,20.0,30.87,28.0,9.0,2.899901161491427,-0.013333367805409625,0.11727862938288589,0.014382242072624729,0.005284865351928565,0.027890364471804485,0.0008523659713951186,0.0001223928477270717,0.00241246919474075,1.1124790418652792e-05,0.0031092507089287838,0.0004564112851258556,0.0006553398116391137,0.007170132578761204,0.0020028956471838063,8.02452973976447,8.002754723764749,12.669537762576116,20.0,30.87,0.0,0.0,0.8269002773865218,-0.026256787834067142,-0.023455801075062857,0.13433342020935268,0.1787338096031137,0.10386427451994837,0.00045583740208720387,-0.0005776456961119476,0.0006236995224389064,0.030375515388581215
11.0,1.0,3.0,1.000037987132353,0.002133350278514203,20.0,30.88,29.0,9.0,2.9999382162381214,-0.014381155770471719,0.11746573956710957,0.014867044740931012,0.00543289903799269,0.02679964153127355,0.0004980838020106913,0.00011547751718508671,0.0028983309112965523,1.1289374952652074e-05,0.003216524514399905,0.00045641340914323066,0.00038313403515500074,0.007417480234153538,0.002341677415875595,8.073975543757014,8.002291387863782,11.40151316896498,20.0,30.88,0.0,0.0,0.8301394273864926,-0.02726068974076503,-0.0233612132646265,0.1382409818394908,0.176490805252904,0.10499825102899353,-0.0003924161221477015,-0.00027976721492049573,0.0005263748317730382,0.030627997645979833
12.0,1.0,3.1,1.0000407621671257,0.0021000111656852487,20.0,30.89,30.0,10.0,3.0998566386195088,-0.015527131355040304,0.1187565296779202,0.015308183430146326,0.005686618854707511,0.02767620331948888,0.0003247179450863881,0.00012135815875041337,0.002295974875668068,1.1456797478988462e-05,0.0033236386428849842,0.0004564108844890919,0.00023286872695774919,0.007664479710433755,0.0018289719447652812,9.22385802525982,8.00213320970342,14.900685394378751,20.0,30.89,0.0,0.0,0.8327049326242637,-0.009614324862686053,-0.03872806619649362,0.1492902866344775,0.18326882847020282,0.11211977221228359,0.0009669607818099144,-0.0009075361596266727,-0.0004954141980445278,0.03420721267484804
13.0,1.0,3.2,1.0000390275229358,0.0020837793989502335,20.0,30.9,31.0,10.0,3.1999119325726983,-0.016687683421570038,0.11894900460380611,0.015806887108518908,0.005945674298818668,0.0281827639357314,0.00034685903974549583,0.0001747344553269135,0.003297869143640095,1.1627461210762268e-05,0.003430928955594212,0.0004564124690944521,0.000248685403171525,0.007912048280427712,0.0024742452710942147,9.202101459249368,8.004150112461076,12.271345854534859,20.0,30.9,0.0,0.0,0.7957587638024475,-0.024028912288025228,-0.030682568802229138,0.1602710045285008,0.1779550131760259,0.10059384558174209,0.0022790186322530393,0.0005118948002575053,0.0014498975861166467,0.03372144007916462
14.0,1.0,3.3,1.0000446978021977,0.0020927178976980335,20.0,30.92,32.0,10.0,3.2999418127672158,-0.018211553795299828,0.12082292692482836,0.016267566463476688,0.006134666474815342,0.02774108990905497,0.00045017412990000196,0.00014439793584922314,0.0026579203817762038,1.1800828222184637e-05,0.0035381404226705517,0.0004564073056791278,0.00032247349635218503,0.008159172944410953,0.002054910236299344,9.123630829495024,8.002664991512198,13.745557554582568,20.0,30.92,0.0,0.0,0.823630754913085,-0.022347527520461163,-0.042300503953373675,0.1568705963782699,0.18039417974296307,0.10570338586463479,0.00041828619927791543,-0.0017376211455560977,0.0023220416101160956,0.03414615077932824
15.0,1.0,3.4,1.0000460841720038,0.002119083608415254,20.0,30.93,33.0,11.0,3.399860086459639,-0.019566664574384492,0.1207341832914813,0.016774967360116896,0.006903617287220111,0.028098802811734536,0.0004937663041903152,0.00018668250997588387,0.004585725941033833,1.197675592112999e-05,0.003645260719713523,0.0004564060396490782,0.00033221336798570434,0.00840629090481287,0.0031689897279266765,10.129325440043125,8.003814939927723,12.118142922284695,20.0,30.93,0.0,0.0,0.814206138287342,-0.014764759810993051,-0.037215919549021384,0.1541170158255804,0.18602791965091564,0.10244342111500976,-0.0007663800166598218,-0.0007099208534051888,-0.0028401709517679972,0.03441078825495792
16.0,1.0,3.5,1.0000468344007316,0.002089880407158081,20.0,30.93,34.0,11.0,3.499911523499112,-0.020830669272718275,0.11753673274615971,0.017226765084855166,0.00829432125432316,0.028736497704029904,0.0005110792238163985,0.00014607061594689355,0.0026752461747879073,1.2155518098391035e-05,0.0037525287093807588,0.000456405333993086,0.000343841753555258,0.008653527827530696,0.0019704164636686356,10.124346689536262,8.002203996737014,15.448795641644333,20.0,30.93,0.0,0.0,0.8163180359326792,-0.0268019213157873,-0.04506633113969581,0.14222649831148232,0.19344499540899068,0.105757110048875,-0.0008543112814176255,-0.0007930999000793773,-0.000834818517376584,0.034401195573719824
17.0,1.0,3.6,1.000047084095064,0.0020578819008580766,20.0,30.94,35.0,11.0,3.599802456991056,-0.022371775179635758,0.1167959646575054,0.017682270599288362,0.008915942536677659,0.027791619969830646,0.0007393685097434121,0.00013626829753366404,0.0035289279070295668,1.233647405005679e-05,0.0038596281385098307,0.00045640510131341334,0.000497064477379121,0.008900471677397777,0.002492738046481803,10.061222563909729,8.001813138362044,13.449312960037133,20.0,30.94,0.0,0.0,0.8029133428378369,-0.014171624821568125,-0.03902056686252643,0.14758892334306487,0.17427037404194917,0.11239160133136546,0.0016986597847708073,-0.0007941636782010818,-0.00028540136356198376,0.03237743279337826
18.0,1.0,3.7,1.0000507762557076,0.0021065912491233657,20.0,30.95,36.0,12.0,3.6998533932947906,-0.02391328398781452,0.11931426507392125,0.018188183224860127,0.00932432816126669,0.03223093420449312,0.0006493279392310071,0.00014974966664324564,0.0036814626341071964,1.2520045946717304e-05,0.003966870675955347,0.0004564017475118035,0.0004130372308958301,0.009147785225455608,0.002469004095524459,11.098064601354189,8.001900121662027,14.742157878719595,20.0,30.95,0.0,0.0,0.819915059475011,-0.015327696600842496,-0.019772955713027392,0.16743977577330868,0.16621250576171478,0.10139943588549809,-0.00035925488465481006,0.00035156645755861344,-0.0005465272345990066,0.032957162658785975
19.0,1.0,3.8,1.0000306636670417,0.0017669685827017933,22.0,30.89,30.0,10.0,3.7999461692096292,-0.025804355005582397,0.11691842097003935,0.01819465737106012,0.009518554200630068,0.026657576185959816,0.0007882577086300179,0.00021304472153278398,0.0028534657896920057,1.27062767938014e-05,0.0040743559579597115,0.0004564200904772206,0.0005641731400937453,0.00939587216989033,0.0021808834401032466,9.046762620759075,8.004374719078637,13.220819286185773,22.0,30.89,0.0,0.0,0.8321946950347644,-0.007965691774482215,-0.023331271214146142,0.13696176800049709,0.1669436483477333,0.0929419977034604,0.0017274238007589785,-0.00035914216578398085,0.0003181086599684799,0.027617901536288465
20.0,1.0,3.9,1.000040748603352,0.0018014947758717018,22.0,30.95,31.0,10.0,3.899882075656252,-0.02731212018703094,0.11747639486403687,0.018636671713172428,0.009931901176667252,0.030526801156731165,0.0007729107134182667,0.00024446486902315504,0.002891805250191925,1.2893994012609521e-05,0.004181423919508438,0.00045641088853506614,0.0005532091215582827,0.009642881947251014,0.0022058298863877794,9.05008520409798,8.005469060160816,13.125972025790674,22.0,30.95,0.0,0.0,0.8439418346823195,-0.0041904759917444755,-0.032263834465879694,0.15094051309375153,0.1815929903216673,0.09035512063556277,0.003207108073966734,-0.0008983481244798937,0.0006268115677274678,0.03194366041649554
21.0,1.0,4.0,1.000037140740741,0.0013528211334400133,24.0,30.75,24.0,8.0,3.999883337120829,-0.029348221132778345,0.1161535266806495,0.018449003119658563,0.010399128441861789,0.025617524416510405,0.0007527984778206468,0.00021941348015652428,0.00399431899364592,1.308409638610534e-05,0.0042886814704996105,0.00045641417331732906,0.0006295013019363414,0.009890209185786215,0.0033904164552526084,7.033838523148322,8.005234784668499,8.457975976180553,24.0,30.75,0.0,0.0,0.8529606823441891,-0.021713861822719522,-0.04790000007686171,0.11833650451320744,0.17062584091517785,0.09561659577974271,0.0019164322585235483,0.00010510244132437354,-0.0008572435590864356,0.026110248676487983
22.0,1.0,4.25,1.000024004192872,0.0013436467644108623,26.0,30.77,18.0,6.0,4.249938471617593,-0.03451842444293245,0.12108316692176377,0.01955680031120324,0.01080822036183904,0.02529652308453788,0.00038710923695903406,0.0002852698211476459,0.0020980187894087373,1.3567998047554477e-05,0.0045569101668966605,0.00045642619656036907,0.00040596310327320825,0.010509298804607122,0.0022456564923899504,5.073807547229592,8.010448502566366,7.847398684637141,26.0,30.77,0.0,0.0,0.8325636175810727,-0.013897166663393815,-0.02948742157101643,0.13846214101635632,0.18376695561075887,0.09615048312215144,0.0019415362644326238,0.0006778478998105082,-0.0002418661808159944,0.031060843913680233
