run,rpm,tare_torque
0,3.4844187834224596,-0.8683664375436174
1,7.550598281249999,-0.8570137682841856
2,11.548151785714289,-0.8380369905825397
3,15.541113586956522,-0.8209760589596399
4,19.536759782608694,-0.8192541419221474
5,23.533085869565216,-0.8126027150069622
6,27.529484510869562,-0.8118379871016754
7,31.525072010869565,-0.8187563580523695
8,35.521612499999996,-0.8204339265266392
9,39.516919565217385,-0.8081402860794187
10,43.51205461956522,-0.8017759874492332
11,47.50755733695652,-0.7994530909323999
12,51.50355,-0.8002394244899916
13,55.49939347826087,-0.7912835796235501
14,59.49537961956521,-0.7730981229741312
15,63.491342119565225,-0.7658147294029443
16,67.36855760869565,-0.7642039679506019
17,69.27821739130435,-0.7632334174033176
18,72.9234504608295,-0.7636265369990858
19,76.62775884146342,-0.7734428501393505
20,79.70788775510205,-0.7714098297591896
21,84.0836015625,-0.767359110001112
22,87.74805964285716,-0.7603491786931524
23,90.42714607988165,-0.768538259368849
24,95.00280632267443,-0.7628902910571992
